x,y,z
261.9768373194277,-486.48968817073563,607.1086715215412
334.321583807281,-755.3767628128696,667.0761258679108
113.44740665090407,-362.6471571855217,314.38560071104394
411.2838375212124,-863.2163943461161,907.1708020135542
214.68034167034818,-563.5452969737527,750.654614122279
210.90965233805576,-538.4398795603462,523.9875045940316
219.13598550047433,-545.6339280275208,578.9459969807152
228.64405104568652,-552.8194912790776,460.1690363250869
215.72323812346954,-471.847036438137,531.1214686557795
3.8680201087093002,-40.48696827382881,-8.587826153491944
-288.6905082650977,25.458954564337805,3.053194905431693
38.874997380475,-66.77612051181228,77.31703028479552
211.95257088355896,-643.3665567929372,578.9650540060687
232.88139987527578,-627.6016417647613,658.2632369974099
506.0435850170105,-1033.7922613976766,937.4513011017744
441.134270902754,-982.9988963020628,1143.9406700104782
-269.67184310469366,37.31621620093089,8.035337265034466
134.144873632921,-451.38838569960035,549.7714923115935
93.85653270019796,-399.7953608462635,357.4638767977859
-339.47684273198814,413.4378544685277,158.68459846557724
293.16579730773014,-748.0947653501322,645.7377900081839
118.2257803208723,-235.52903622133513,280.9833826495258
156.77080168553692,-463.19444608808163,406.0983185153927
172.33667737888018,-598.9399584855433,506.4222649759224
99.1110140560493,-47.561549956393414,-23.743039980741585
351.88782603434964,-783.3814623620548,863.3393279680406
164.85540238733682,-585.9617512013712,540.5501942620423
61.69662286875473,-278.47345166789256,275.249659552488
207.88481298467093,-548.867163188335,552.3237979662998
423.87349565103904,-923.7672993695372,1067.010622440133
110.78731949552655,-518.4862652850474,570.2632850410059
292.021670380522,-524.066759063495,656.8711972197094
95.11735117567048,-313.7494624020299,295.08363636054344
610.7626487555708,-1664.4957239915886,1566.6759754648679
288.67364681901114,-712.5122480987452,1.63474232984775
64.07878942725397,-45.64770818186069,-48.66266596654292
-9.567441298620414,292.6799665041288,-140.27157523798266
86.42901004274293,-0.0377363603340146,-35.67289308772907
-3.3482528887297467,-15.884021340670877,32.350098900810565
29.25878039982202,17.679536024284236,16.242344052538314
-49.56008347843912,-1.6346304859121388,-40.946855468822925
16.192096889287768,13.226719242530507,-14.411967852003784
15.011502157184688,16.78610174084561,-0.470294557505594
3.5844683803676545,11.742259943173302,1.3934324013357082
-66.36055855357414,-103.36863877999713,-88.10940554917016
2.613748286271206,-1.94175935611279,-3.7473539226316444
4.048912048079879,46.34847808837671,4.938837421719551
18.03752992156499,78.15706178215254,-40.513629425163074
40.33123128065165,17.3986218852364,24.61366388758811
-15.723400841569571,-17.689496845924538,-11.192395251837516
-98.31919184904366,-17.002455020527147,-14.015263159352271
-33.8013045255027,29.60270835914713,19.42025441098833
-4.35180865699053,33.94358444783877,6.610833764010429
-6.205455076465645,-12.271004828000192,-4.701639880420743
46.60420054745596,7.164869902855863,3.6121700704225455
4.340424488016877,-1.3002104136731745,-1.152120945430322
-19.995520893010134,-6.5671721864649495,-0.8324286939530734
-5.21272039973162,32.7758522877521,-17.367436990116797
-15.371126448233163,-36.33953694369129,-41.31437693637074
31.629976394371592,34.894353691662495,18.17027995746503
-34.00311820455351,15.860821988502972,13.538787061852421
-6.559937343507096,-37.06686777747873,-42.62275947737512
38.926175404546754,14.868727374996064,-36.56881872076951
75.83518818125093,6.810476928921474,45.70466474666331
-1303.381967498753,630.4504586697456,523.8650112979369
197.95447588884082,-43.44371753040663,312.42943668565
176.70209655953713,-1154.8563625714276,-135.43044450844667
-53.830201305848654,-53.06394361416948,73.10336066477417
-19.00417810996054,58.273506529070126,-48.189743656314654
-30.196974828268463,-69.23394729142444,15.943509716470338
-65.76278455147587,29.460533749249297,-1.1350304205226514
15.807090419336303,22.748978247570058,17.19306757755901
-16.50401554352057,23.92970171746823,53.451514148265524
8.652590198769115,24.46354646802925,-17.450623357024767
-17.42457908071379,7.765169885189974,-10.85684671873422
-4.561798880521507,36.15996207569645,29.474622754971218
-129.96691438660213,-2486.663446529389,-1743.9075390798116
169.4443492034285,-370.60497801810874,497.3943474469968
15.878891566913982,-54.17394008419953,27.437046508685075
-489.8037145080089,146.72347799608718,-938.0264021651462
-565.3761958842956,-151.64972130376145,131.7274426833456
31.299686643528336,-889.2636685922939,-456.3227556651016
-108.73081222747197,757.1212682135653,-0.4219147270541696
111.9344588889343,-265.3356416948593,250.9037918418507
-29.399492424554808,149.47064313208554,-140.87688521137625
-49.159216775272405,-4.133179441127041,-2.861775167482652
-31.29644032779912,-7419.902331792173,-4146.5732743420685
-658.7038164077381,238.9700017247891,-1343.5086483255457
-343.84219665764226,-449.3605986353134,-527.265661192496
-141.10580939904355,-5692.163945776692,-3337.5677918139354
14.547023063347092,-9.763563196306265,4.619590854846518
-126.65527805622534,-4716.060110906369,-3181.0117055519145
-0.42344691881888746,-3.079265130987543,-3.3214237973536385
120.82411566045651,-640.2213917861641,67.7611536446633
37.10896560694256,104.42805301361992,47.11308789189679
-16.818069740718627,4.61878129989983,-10.539364208054492
-252.00517914444902,1116.3142500684899,-101.86279830438376
-43.39083850718383,-1165.4178082472743,-669.9722891685618
4.071056141793691,8.391666907235946,-15.710313318593137
3.0855976058145758,0.21919904724712388,-17.281222873473894
